tome	session_id	organization	president	date
16	11	ASSEMBLÉE NATIONALE.	 PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ.	1790-06-06
16	12	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. BRIOIS DE BEAUMETZ.	1790-06-07
16	13	ASSEMBLÉE NATIONALE.	 PRÉSIDENCE DE M. L'ABBÉ SIEYÈS.	1790-06-08
16	14	ASSEMBLÉE NATIONALE.	 PRÉSIDENCE DE M. L'ABBÉ GOUTTES, EX-PRÉSIDENT.	1790-06-08
16	15	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. DE BONNAY, EX-PRÉSIDENT. 	1790-06-09
16	16	ASSEMBLÉE NATIONALE. 	PROCÈS-VERBAL DE L'ASSISTANCE DE L'ASSEMBLÉE	1790-06-10
16	17	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE MARQUIS DE BONNAY, EX-PRÉSIDENT. 	1790-06-10
16	18	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. L'ABBÉ SIEYÈS.	1790-06-11
16	19	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE MARQUIS DE BONNAY, ANCIEN PRÉSIDENT. 	1790-06-12
16	20	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ SIEYÈS. 	1790-06-12
